,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
0,4,0.2,8,0.2,0.879404607,1.3992871
1,13,0.2,8,0.2,0.879443392,1.3039674
2,22,0.2,8,0.2,0.879430786,1.2625568
3,31,0.2,8,0.2,0.879700821,1.2065965
4,40,0.2,8,0.2,0.879370637,1.1343869
5,4,0.3,8,0.2,1.99296517,1.860882
6,13,0.3,8,0.2,2.014567805,1.8167975
7,22,0.3,8,0.2,2.014430207,1.7989249
8,31,0.3,8,0.2,2.014341005,1.7635683
9,40,0.3,8,0.2,2.014571371,1.7080328
10,4,0.4,8,0.2,1.767669876,1.9308826
11,13,0.4,8,0.2,1.794741682,1.9610006
12,22,0.4,8,0.2,1.794595717,1.9651948
13,31,0.4,8,0.2,1.794507994,1.9488584
14,40,0.4,8,0.2,1.794455037,1.9115072
15,4,0.5,8,0.2,1.809579207,1.8826224
16,13,0.5,8,0.2,1.821270923,1.9725825
17,22,0.5,8,0.2,1.820908362,1.9911371
18,31,0.5,8,0.2,1.820787469,1.9864614
19,40,0.5,8,0.2,1.820693423,1.9601163
20,4,0.6,8,0.2,1.833876035,1.8237201
21,13,0.6,8,0.2,1.847874656,1.9490364
22,22,0.6,8,0.2,1.847038888,1.9757022
23,31,0.6,8,0.2,1.84676305,1.9784503
24,40,0.6,8,0.2,1.846593219,1.9594808
25,4,0.7,8,0.2,1.792221864,1.7730371
26,13,0.7,8,0.2,1.825571676,1.9141457
27,22,0.7,8,0.2,1.824624908,1.944595
28,31,0.7,8,0.2,1.823933587,1.952324
29,40,0.7,8,0.2,1.823679067,1.9389853
30,4,0.2,20,0.2,3.915690171,3.0020232
31,13,0.2,20,0.2,3.94284984,2.966345
32,22,0.2,20,0.2,3.942842174,2.916834
33,31,0.2,20,0.2,2.536535644,2.8525887
34,40,0.2,20,0.2,2.536133552,2.7753966
35,4,0.3,20,0.2,2.861187519,3.2166462
36,13,0.3,20,0.2,2.92611521,3.3597033
37,22,0.3,20,0.2,2.926084329,3.3493986
38,31,0.3,20,0.2,2.926037121,3.3176038
39,40,0.3,20,0.2,2.925825777,3.277847
40,4,0.4,20,0.2,3.196751327,3.2354817
41,13,0.4,20,0.2,3.362628788,3.5846393
42,22,0.4,20,0.2,3.362436256,3.6047044
43,31,0.4,20,0.2,3.362417378,3.5861208
44,40,0.4,20,0.2,3.362233019,3.5590658
45,4,0.5,20,0.2,3.199908497,3.1596706
46,13,0.5,20,0.2,3.58247,3.6850035
47,22,0.5,20,0.2,3.582624355,3.7290459
48,31,0.5,20,0.2,3.582001288,3.7172294
49,40,0.5,20,0.2,3.582289976,3.694178
50,4,0.6,20,0.2,3.097695996,3.0077145
51,13,0.6,20,0.2,3.777415641,3.6658351
52,22,0.6,20,0.2,3.769969334,3.729023
53,31,0.6,20,0.2,3.769654682,3.7238193
54,40,0.6,20,0.2,3.769796054,3.7039573
55,4,0.7,20,0.2,2.751615413,2.8234332
56,13,0.7,20,0.2,3.622405452,3.5557523
57,22,0.7,20,0.2,3.623473203,3.6334183
58,31,0.7,20,0.2,3.62275847,3.6361465
59,40,0.7,20,0.2,3.622463361,3.6209483
60,4,0.2,32,0.2,3.666371338,3.7593803
61,13,0.2,32,0.2,3.736690697,3.8377337
62,22,0.2,32,0.2,3.737117645,3.7974386
63,31,0.2,32,0.2,3.737095445,3.7489161
64,40,0.2,32,0.2,3.736610812,3.7036722
65,4,0.3,32,0.2,4.502559534,4.1871567
66,13,0.3,32,0.2,4.745364055,4.556235
67,22,0.3,32,0.2,4.746246682,4.5533733
68,31,0.3,32,0.2,4.746654875,4.527212
69,40,0.3,32,0.2,4.745466031,4.5129037
70,4,0.4,32,0.2,4.388578622,4.2696605
71,13,0.4,32,0.2,5.082004547,5.026513
72,22,0.4,32,0.2,5.083173681,5.05424
73,31,0.4,32,0.2,5.083152634,5.0282474
74,40,0.4,32,0.2,5.082928172,5.013977
75,4,0.5,32,0.2,3.891866069,3.9799616
76,13,0.5,32,0.2,5.193652673,5.191299
77,22,0.5,32,0.2,5.195452821,5.248453
78,31,0.5,32,0.2,5.195290392,5.2170963
79,40,0.5,32,0.2,5.195023487,5.192044
80,4,0.6,32,0.2,3.561149178,3.4967027
81,13,0.6,32,0.2,5.302148715,5.112331
82,22,0.6,32,0.2,5.307512871,5.1987047
83,31,0.6,32,0.2,5.307431396,5.165986
84,40,0.6,32,0.2,5.30725891,5.132036
85,4,0.7,32,0.2,3.173516853,3.0376098
86,13,0.7,32,0.2,4.995736576,4.893452
87,22,0.7,32,0.2,5.002542681,5.0062695
88,31,0.7,32,0.2,5.001815556,4.978835
89,40,0.7,32,0.2,5.001566921,4.9426136
90,4,0.2,8,0.4,0.678782263,0.763804
91,13,0.2,8,0.4,0.678823373,0.71035236
92,22,0.2,8,0.4,0.678927257,0.69610465
93,31,0.2,8,0.4,0.678823938,0.6749318
94,40,0.2,8,0.4,0.678609408,0.64493597
95,4,0.3,8,0.4,1.245730107,1.3780015
96,13,0.3,8,0.4,1.250117613,1.3338962
97,22,0.3,8,0.4,1.250095669,1.3337302
98,31,0.3,8,0.4,1.250156935,1.3221376
99,40,0.3,8,0.4,1.250110356,1.2955189
100,4,0.4,8,0.4,1.554572351,1.7673784
101,13,0.4,8,0.4,1.568264582,1.754493
102,22,0.4,8,0.4,1.568148128,1.7654923
103,31,0.4,8,0.4,1.568132736,1.7635901
104,40,0.4,8,0.4,1.568049462,1.7457819
105,4,0.5,8,0.4,1.908374304,2.0090413
106,13,0.5,8,0.4,1.928915813,2.024391
107,22,0.5,8,0.4,1.928680441,2.038643
108,31,0.5,8,0.4,1.928601335,2.0393188
109,40,0.5,8,0.4,1.928882256,2.0246997
110,4,0.6,8,0.4,2.061919915,2.1681428
111,13,0.6,8,0.4,2.085081209,2.2031848
112,22,0.6,8,0.4,2.084853896,2.2175937
113,31,0.6,8,0.4,2.084837649,2.2182178
114,40,0.6,8,0.4,2.084729057,2.204241
115,4,0.7,8,0.4,2.161969189,2.259845
116,13,0.7,8,0.4,2.191492732,2.3062806
117,22,0.7,8,0.4,2.189020718,2.319982
118,31,0.7,8,0.4,2.190202808,2.3202274
119,40,0.7,8,0.4,2.188394151,2.3064055
120,4,0.2,20,0.4,2.293741532,2.7567089
121,13,0.2,20,0.4,2.31771781,2.701894
122,22,0.2,20,0.4,2.317707972,2.6563256
123,31,0.2,20,0.4,2.317657135,2.602888
124,40,0.2,20,0.4,2.317818641,2.5420039
125,4,0.3,20,0.4,3.553915607,3.6325955
126,13,0.3,20,0.4,3.659575847,3.7284799
127,22,0.3,20,0.4,3.659755753,3.7169154
128,31,0.3,20,0.4,3.659701517,3.6974335
129,40,0.3,20,0.4,3.659731171,3.680585
130,4,0.4,20,0.4,4.368520944,4.3399625
131,13,0.4,20,0.4,4.604853836,4.605723
132,22,0.4,20,0.4,4.604845001,4.609192
133,31,0.4,20,0.4,4.604760808,4.5984616
134,40,0.4,20,0.4,4.604610971,4.5981255
135,4,0.5,20,0.4,4.91433384,4.7914004
136,13,0.5,20,0.4,5.386575469,5.233797
137,22,0.5,20,0.4,5.386145809,5.2460938
138,31,0.5,20,0.4,5.385921849,5.233824
139,40,0.5,20,0.4,5.385845158,5.2346206
140,4,0.6,20,0.4,5.132250423,4.9171786
141,13,0.6,20,0.4,5.805591192,5.5190287
142,22,0.6,20,0.4,5.803920943,5.5436006
143,31,0.6,20,0.4,5.80351926,5.5320587
144,40,0.6,20,0.4,5.806269705,5.531374
145,4,0.7,20,0.4,4.836360907,4.796511
146,13,0.7,20,0.4,5.636953489,5.490637
147,22,0.7,20,0.4,5.635641633,5.529707
148,31,0.7,20,0.4,5.634828317,5.5232415
149,40,0.7,20,0.4,5.634478926,5.5223246
150,4,0.2,32,0.4,4.257308936,4.2295265
151,13,0.2,32,0.4,4.354205416,4.337212
152,22,0.2,32,0.4,4.354524601,4.296306
153,31,0.2,32,0.4,4.354526578,4.2582498
154,40,0.2,32,0.4,4.354072662,4.2395525
155,4,0.3,32,0.4,5.831236276,5.731384
156,13,0.3,32,0.4,6.187984545,6.1737847
157,22,0.3,32,0.4,6.188675004,6.16927
158,31,0.3,32,0.4,6.188608528,6.1623716
159,40,0.3,32,0.4,6.188644868,6.1982265
160,4,0.4,32,0.4,6.930384019,6.7212405
161,13,0.4,32,0.4,7.787116489,7.664604
162,22,0.4,32,0.4,7.789916641,7.6772413
163,31,0.4,32,0.4,7.789544668,7.6657057
164,40,0.4,32,0.4,7.878637882,7.7097607
165,4,0.5,32,0.4,7.198823964,6.92931
166,13,0.5,32,0.4,8.779279166,8.508399
167,22,0.5,32,0.4,8.733306205,8.540089
168,31,0.5,32,0.4,8.733151697,8.514566
169,40,0.5,32,0.4,8.782261668,8.545405
170,4,0.6,32,0.4,6.871133631,6.6215878
171,13,0.6,32,0.4,9.048710309,8.74636
172,22,0.6,32,0.4,9.051857438,8.803799
173,31,0.6,32,0.4,9.051479454,8.771317
174,40,0.6,32,0.4,9.052245594,8.787922
175,4,0.7,32,0.4,6.201439272,6.1301446
176,13,0.7,32,0.4,8.687409291,8.557012
177,22,0.7,32,0.4,8.691117686,8.639295
178,31,0.7,32,0.4,8.689346171,8.60764
179,40,0.7,32,0.4,8.689640329,8.613743
180,4,0.2,8,0.6,0.925134986,0.37887186
181,13,0.2,8,0.6,0.409722023,0.3604216
182,22,0.2,8,0.6,0.409752513,0.35980847
183,31,0.2,8,0.6,0.409723406,0.35575902
184,40,0.2,8,0.6,0.40972987,0.3471465
185,4,0.3,8,0.6,0.729745772,0.89703965
186,13,0.3,8,0.6,0.732765033,0.8795087
187,22,0.3,8,0.6,0.732596782,0.8913633
